id,fecha,usuario,texto,tema,sentimiento,likes,reposts
5173,2023-11-03,user_68658,¿Soy auténtico o solo imito modelos que vi en mi feed? La línea es cada vez más difusa.,Generación Z y crisis de sentido,positivo,15265,616
5174,2022-02-12,user_23960,Los algoritmos me conocen mejor que yo mismo. Predicen mis deseos antes de que los tenga.,IA y pérdida de autonomía humana,neutral,2717,499
5175,2022-10-17,user_87801,Las burbujas de filtro destruyen el pensamiento crítico. Solo veo lo que confirma mis creencias.,IA y pérdida de autonomía humana,negativo,13322,1030
5176,2023-08-10,user_50170,Tengo 500 amigos online y me siento completamente solo. La hiperconectividad nos desconecta.,Cultura de lo efímero y proyectos de vida,positivo,13396,4446
5177,2023-02-04,user_9882,"El burnout juvenil es una crisis silenciosa. Todos actuamos como si estuviéramos bien, pero estamos rotos.",Cultura de lo efímero y proyectos de vida,positivo,4981,4559
5178,2022-06-19,user_37797,La hiperconectividad es una falsa promesa. Tenemos miles de contactos pero ninguna conexión real.,Cultura de lo efímero y proyectos de vida,neutral,3557,4984
5179,2024-02-06,user_82315,"A veces siento que mi vida no tiene dirección clara. Las redes sociales muestran vidas perfectas, pero yo solo siento vacío.",Generación Z y crisis de sentido,positivo,7262,4562
5180,2022-09-21,user_36546,TikTok me entrenó para consumir contenido en ráfagas de 15 segundos. Ya no puedo leer libros.,Cultura de lo efímero y proyectos de vida,neutral,3945,643
5181,2023-06-23,user_97212,No encuentro un 'para qué' en mi día a día. Solo reproduzco rutinas que vi en TikTok.,Generación Z y crisis de sentido,positivo,6763,4920
5182,2022-10-22,user_45172,¿Cómo planear un futuro cuando todo cambia tan rápido que los planes son obsoletos antes de ejecutarlos?,Generación Z y crisis de sentido,negativo,17795,2438
5183,2023-02-23,user_65903,Dejo de hacer cosas auténticas porque 'no se ven bien en Instagram'. Eso es triste.,Generación Z y crisis de sentido,positivo,1278,4137
5184,2023-09-24,user_76903,El hustle culture me vendió el éxito. Lo que obtuve fue ansiedad y agotamiento crónico.,Cultura de lo efímero y proyectos de vida,positivo,6847,565
5185,2022-09-29,user_15813,"Performamos felicidad, éxito, satisfacción. Pero detrás de los filtros hay vacío.",Generación Z y crisis de sentido,neutral,5495,2353
5186,2022-09-01,user_10829,"Ya no evalúo información, solo consumo lo que el algoritmo me sirve pre-digerido.",IA y pérdida de autonomía humana,neutral,2565,4769
5187,2022-08-08,user_26673,¿Cómo pensar críticamente si nunca veo perspectivas que desafíen mi visión del mundo?,IA y pérdida de autonomía humana,negativo,14330,1405
5188,2023-06-19,user_66894,La paciencia es un lujo que nuestra generación no puede permitirse en la era de lo instantáneo.,Cultura de lo efímero y proyectos de vida,positivo,6222,1933
5189,2022-11-18,user_48492,"El futuro se siente apocalíptico: crisis climática, colapso económico, automatización. ¿Para qué planear?",Generación Z y crisis de sentido,neutral,11368,1570
5190,2022-12-29,user_84690,¿Puedo ser yo mismo en un espacio donde todo es espectáculo y métrica?,Generación Z y crisis de sentido,negativo,11800,3847
5191,2022-09-26,user_32324,TikTok me entrenó para consumir contenido en ráfagas de 15 segundos. Ya no puedo leer libros.,Cultura de lo efímero y proyectos de vida,negativo,6531,990
5192,2023-08-25,user_56595,"Los algoritmos optimizan para engagement, no para verdad. El resultado es una sociedad menos crítica.",IA y pérdida de autonomía humana,positivo,13441,3077
5193,2022-04-26,user_1362,"Nos vigilan para vendernos cosas, para predecir comportamientos, para controlarnos sutilmente.",IA y pérdida de autonomía humana,negativo,11724,4044
5194,2023-08-17,user_58110,"Performamos felicidad, éxito, satisfacción. Pero detrás de los filtros hay vacío.",Generación Z y crisis de sentido,positivo,1409,2432
5195,2023-11-18,user_37847,"Sartre decía que estamos condenados a ser libres, pero yo me siento condenado a ser productivo sin propósito.",Generación Z y crisis de sentido,negativo,14165,1676
5196,2022-03-28,user_3419,"¿Existe algo más allá de las métricas? Mi valor parece medirse en followers, no en lo que realmente soy.",Generación Z y crisis de sentido,neutral,15281,482
5197,2023-04-05,user_63407,Los algoritmos me conocen mejor que yo mismo. Predicen mis deseos antes de que los tenga.,IA y pérdida de autonomía humana,neutral,14822,1146
5198,2023-05-20,user_84405,La paradoja de la elección nos paraliza. Tenemos todas las opciones pero no sabemos cuál tomar.,Generación Z y crisis de sentido,positivo,18143,2448
5199,2022-04-08,user_61432,"El futuro se siente apocalíptico: crisis climática, colapso económico, automatización. ¿Para qué planear?",Generación Z y crisis de sentido,positivo,8272,2057
5200,2022-06-07,user_4316,La soledad digital es única: estás rodeado de gente pero completamente aislado.,Cultura de lo efímero y proyectos de vida,negativo,9534,4827
